NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,CECE,Raphaël,M.,DXG,Divers extrême gauche,245,"   1,37","   0,32",non,97101,97101,ZA001
2,SERVA,Olivier,M.,DVG,Divers gauche,7766,"  43,44","  10,22",Bal.,97101,97101,ZA001
3,ANGOL,Henri,M.,DIV,Divers,58,"   0,32","   0,08",non,97101,97101,ZA001
4,NABAJOTH,Alix,M.,DVG,Divers gauche,2332,"  13,04","   3,07",non,97101,97101,ZA001
5,FARO,Rudy,M.,DIV,Divers,78,"   0,44","   0,10",non,97101,97101,ZA001
6,FABULAS,"Thierry, Lucien",M.,RN,Rassemblement National,1237,"   6,92","   1,63",non,97101,97101,ZA001
7,BIRAS,Dominique,M.,DVG,Divers gauche,2685,"  15,02","   3,53",Bal.,97101,97101,ZA001
8,JACOBY-KOALY,Francillonne,M.,DVG,Divers gauche,795,"   4,45","   1,05",non,97101,97101,ZA001
9,CIVILISE,Christian,M.,ECO,Ecologistes,266,"   1,49","   0,35",non,97101,97101,ZA001
10,JEAN-PHILIPPE,Eric,M.,DIV,Divers,0,"   0,00","   0,00",non,97101,97101,ZA001
11,MONTOUT,Nadège,Mme,DVG,Divers gauche,2364,"  13,22","   3,11",non,97101,97101,ZA001
12,SMITE,Marie,Mme,UDI,Union des Démocrates et des Indépendants,51,"   0,29","   0,07",non,97101,97101,ZA001
