NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,LE FORESTIER,François,M.,LR,Les Républicains,2985,"   8,61","   3,58",non,07202,07202,72002
2,MONET,Alexandra,Mme,ENS,Ensemble ! (Majorité présidentielle),6517,"  18,79","   7,83",non,07202,07202,72002
3,PICAVEZ,Vincent,M.,DXG,Divers extrême gauche,88,"   0,25","   0,11",non,07202,07202,72002
4,ZBIROU,Marylin,Mme,ECO,Ecologistes,874,"   2,52","   1,05",non,07202,07202,72002
5,JOVER,Serge,M.,DXG,Divers extrême gauche,189,"   0,55","   0,23",non,07202,07202,72002
6,BESLIER,Olivier,M.,REC,Reconquête !,987,"   2,85","   1,19",non,07202,07202,72002
7,CABARET,Muriel,Mme,DVG,Divers gauche,2323,"   6,70","   2,79",non,07202,07202,72002
8,KARAMANLI,Marietta,Mme,NUP,Nouvelle union populaire écologique et sociale,12668,"  36,53","  15,21",Bal.,07202,07202,72002
9,TROCHON,Eric,M.,DSV,Droite souverainiste,480,"   1,38","   0,58",non,07202,07202,72002
10,FURET,Angéline,Mme,RN,Rassemblement National,7261,"  20,94","   8,72",Bal.,07202,07202,72002
11,HUBERT,Thomas,M.,DXG,Divers extrême gauche,304,"   0,88","   0,37",non,07202,07202,72002
