NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,HENRY-LEO,Christian-Georges,M.,DIV,Divers,110,"   0,53","   0,13",non,97103,97103,ZA003
2,QUIABA,Hubert,M.,ECO,Ecologistes,945,"   4,56","   1,12",non,97103,97103,ZA003
3,LOUISY,Ferdy,M.,ENS,Ensemble ! (Majorité présidentielle),2917,"  14,07","   3,46",non,97103,97103,ZA003
4,ESDRAS,Sidjie,Mme,DXG,Divers extrême gauche,267,"   1,29","   0,32",non,97103,97103,ZA003
5,LAPIN,Raphaël,M.,DVG,Divers gauche,1711,"   8,26","   2,03",non,97103,97103,ZA003
6,TOLASSY,Rody,M.,RN,Rassemblement National,4164,"  20,09","   4,94",Bal.,97103,97103,ZA003
7,SAVAN,Fauvert,M.,DIV,Divers,506,"   2,44","   0,60",non,97103,97103,ZA003
8,AIGLE,Marie-Laure,Mme,DVG,Divers gauche,1731,"   8,35","   2,05",non,97103,97103,ZA003
9,GAMA,Béatrice,Mme,UDI,Union des Démocrates et des Indépendants,28,"   0,14","   0,03",non,97103,97103,ZA003
10,FLEMIN,Félix Alain,M.,DXG,Divers extrême gauche,389,"   1,88","   0,46",non,97103,97103,ZA003
11,PIERQUIN,Delphine,Mme,LR,Les Républicains,258,"   1,24","   0,31",non,97103,97103,ZA003
12,TORIBIO,José,M.,DVG,Divers gauche,1417,"   6,84","   1,68",non,97103,97103,ZA003
13,CABRION,Grégory,M.,DIV,Divers,329,"   1,59","   0,39",non,97103,97103,ZA003
14,CHAMMOUGON ANNO,Sylvie,Mme,DVG,Divers gauche,1924,"   9,28","   2,28",non,97103,97103,ZA003
15,LUCE,Fabrice,M.,DVC,Divers centre,397,"   1,92","   0,47",non,97103,97103,ZA003
16,MATHIASIN,Max,M.,DVG,Divers gauche,3508,"  16,93","   4,16",Bal.,97103,97103,ZA003
17,MAYENGO,Prévert,M.,REC,Reconquête !,2,"   0,01","   0,00",non,97103,97103,ZA003
18,ARGIS,René-Claude,M.,DIV,Divers,16,"   0,08","   0,02",non,97103,97103,ZA003
19,EDINVAL,Gilbert,M.,DIV,Divers,0,"   0,00","   0,00",non,97103,97103,ZA003
20,CONFIAC,"Paul, Eric",M.,DVG,Divers gauche,106,"   0,51","   0,13",non,97103,97103,ZA003
