NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,JEAN-MARIE,Gabriel,M.,DXG,Divers extrême gauche,243,"   2,01","   0,40",non,97203,97203,ZB003
2,JOS,Nathalie,Mme,REG,Régionaliste,684,"   5,66","   1,13",non,97203,97203,ZB003
3,MOLE,Isabelle,Mme,UDI,Union des Démocrates et des Indépendants,195,"   1,61","   0,32",non,97203,97203,ZB003
4,CRAMPON,Cédric,M.,RN,Rassemblement National,413,"   3,42","   0,68",non,97203,97203,ZB003
5,ROBIN,Daniel,M.,DVG,Divers gauche,597,"   4,94","   0,99",non,97203,97203,ZB003
6,CAROLE,Francis,M.,REG,Régionaliste,2288,"  18,95","   3,78",Bal.,97203,97203,ZB003
7,JEANVILLE,Marie-Jeanne Françoise,Mme,REC,Reconquête !,180,"   1,49","   0,30",non,97203,97203,ZB003
8,GIRAUD,Audrey Arielle,Mme,ENS,Ensemble ! (Majorité présidentielle),420,"   3,48","   0,69",non,97203,97203,ZB003
9,JEAN-BAPTISTE,Jean-Michel,M.,DVG,Divers gauche,684,"   5,66","   1,13",non,97203,97203,ZB003
10,RENARD,Thierry,M.,DVG,Divers gauche,1679,"  13,90","   2,77",non,97203,97203,ZB003
11,BARDET,Joël,M.,REG,Régionaliste,180,"   1,49","   0,30",non,97203,97203,ZB003
12,HAJJAR,Johnny,M.,DVG,Divers gauche,4471,"  37,03","   7,39",Bal.,97203,97203,ZB003
13,NEMOUTHE,Noël,M.,REG,Régionaliste,41,"   0,34","   0,07",non,97203,97203,ZB003
