NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,RapportExprimes,RapportInscrits
1,ALLOUACHE,Nadia,Mme,VEC,Europe-Ecologie-Les Verts,1161,"   2,47","   1,46",non,00101,2.47,1.46
2,LEPAGNOT,Maude,Mme,EXG,Extrême gauche,141,"   0,30","   0,17",non,00101,0.3,0.17
3,BAUDOUIN,Grégory,M.,DVD,Divers droite,296,"   0,63","   0,37",non,00101,0.63,0.37
4,FLECHON,Jacques,M.,DVD,Divers droite,220,"   0,47","   0,27",non,00101,0.47,0.27
5,PERRIN,Clément,M.,FN,Front National,7290,"  15,49","   9,22",non,00101,15.49,9.22
6,BOILEAU,Sébastien,M.,FG,Front de gauche,1520,"   3,23","   1,92",non,00101,3.23,1.92
7,DEBAT,Jean-François,M.,SOC,Socialiste,18312,"  38,92","  23,16",Bal.,00101,38.92,23.16
8,GUENARD GERBAUD,Carole,Mme,EXG,Extrême gauche,171,"   0,36","   0,21",non,00101,0.36,0.21
9,BRETON,Xavier,M.,UMP,Union pour un Mouvement Populaire,17716,"  37,65","  22,40",Bal.,00101,37.65,22.4
10,VAN DER VOSSEN,Muriel,Mme,ECO,Ecologiste,226,"   0,48","   0,28",non,00101,0.48,0.28
1,RAYMOND,Michel,M.,DVG,Divers gauche,11900,"  23,07","  13,68",Bal.,00102,23.07,13.68
2,DARMEDRU,Claire,Mme,ECO,Ecologiste,495,"   0,96","   0,56",non,00102,0.96,0.56
3,VERNAY,Paul,M.,VEC,Europe-Ecologie-Les Verts,5213,"  10,11","   5,99",non,00102,10.11,5.99
4,DE LA VERPILLIERE,Charles,M.,UMP,Union pour un Mouvement Populaire,19217,"  37,26","  22,09",Bal.,00102,37.26,22.09
5,PHILIPPE,Katia,Mme,FG,Front de gauche,2215,"   4,29","   2,54",non,00102,4.29,2.54
6,BEGUET,Marie Jeanne,Mme,CEN,Le Centre pour la France,1418,"   2,75","   1,63",non,00102,2.75,1.63
7,GOUTAGNY,Vincent,M.,EXG,Extrême gauche,224,"   0,43","   0,25",non,00102,0.43,0.25
8,EYRAUD,Olivier,M.,FN,Front National,10894,"  21,12","  12,52",Bal.,00102,21.12,12.52
1,VERMEULEN,Sylvie,Mme,ECO,Ecologiste,379,"   1,02","   0,54",non,00103,1.02,0.54
2,FOGNINI,Jean-Marc,M.,SOC,Socialiste,12164,"  32,68","  17,41",Bal.,00103,32.68,17.41
3,THOUMINE,Yves,M.,FG,Front de gauche,1622,"   4,36","   2,32",non,00103,4.36,2.32
4,BLANC,Etienne,M.,UMP,Union pour un Mouvement Populaire,15465,"  41,55","  22,14",Bal.,00103,41.55,22.14
5,NOBLET,Gaëtan,M.,FN,Front National,5041,"  13,54","   7,21",non,00103,13.54,7.21
6,LAHY,Eric,M.,EXG,Extrême gauche,160,"   0,43","   0,22",non,00103,0.43,0.22
7,ROCHET,Delphine,Mme,DVD,Divers droite,582,"   1,56","   0,83",non,00103,1.56,0.83
8,FRANQUET,Christine,Mme,VEC,Europe-Ecologie-Les Verts,1810,"   4,86","   2,59",non,00103,4.86,2.59
1,LACROIX,Guillaume,M.,RDG,Radical de Gauche,15419,"  31,32","  18,22",Bal.,00104,31.32,18.22
2,VIANES,Michèle,Mme,DVD,Divers droite,635,"   1,29","   0,75",non,00104,1.29,0.75
3,VOISIN,Michel,M.,UMP,Union pour un Mouvement Populaire,20050,"  40,73","  23,70",Bal.,00104,40.73,23.7
4,MAYER,Laurence,Mme,ECO,Ecologiste,300,"   0,61","   0,35",non,00104,0.61,0.35
5,MORTEL,Jean-François,M.,EXG,Extrême gauche,192,"   0,39","   0,22",non,00104,0.39,0.22
6,BLATRIX,Daniel,M.,FG,Front de gauche,1560,"   3,17","   1,84",non,00104,3.17,1.84
7,MOSSIRE,Corinne,Mme,FN,Front National,9390,"  19,07","  11,10",non,00104,19.07,11.1
8,DRACOS,Electre,Mme,EXG,Extrême gauche,163,"   0,33","   0,19",non,00104,0.33,0.19
9,ZIELINSKI,Nicolas,M.,VEC,Europe-Ecologie-Les Verts,1521,"   3,09","   1,79",non,00104,3.09,1.79
1,BOULME,Jean-Michel,M.,EXG,Extrême gauche,222,"   0,53","   0,30",non,00105,0.53,0.3
2,LEGER,Bernard,M.,DVD,Divers droite,176,"   0,42","   0,23",non,00105,0.42,0.23
3,PERRAUD,Michel,M.,PRV,Parti radical,3946,"   9,49","   5,35",non,00105,9.49,5.35
4,CERESERO-LANES,Christophe,M.,EXG,Extrême gauche,184,"   0,44","   0,24",non,00105,0.44,0.24
5,FAVRE,Bernard,M.,ECO,Ecologiste,232,"   0,56","   0,31",non,00105,0.56,0.31
6,EXPOSITO,Josiane,Mme,SOC,Socialiste,11857,"  28,51","  16,08",Bal.,00105,28.51,16.08
7,ABAD,Damien,M.,UMP,Union pour un Mouvement Populaire,13231,"  31,81","  17,94",Bal.,00105,31.81,17.94
8,LARGERON,Guy,M.,EXG,Extrême gauche,165,"   0,40","   0,22",non,00105,0.4,0.22
9,GALIENNE,Jean,M.,ECO,Ecologiste,446,"   1,07","   0,60",non,00105,1.07,0.6
10,FERRI,Mylène,Mme,FG,Front de gauche,3046,"   7,32","   4,13",non,00105,7.32,4.13
11,ROYER,Patrick,M.,ECO,Ecologiste,301,"   0,72","   0,40",non,00105,0.72,0.4
12,SOKOLOWSKI,Patrick,M.,FN,Front National,7482,"  17,99","  10,14",non,00105,17.99,10.14
13,SANSANO,Brigitte,Mme,DVD,Divers droite,305,"   0,73","   0,41",non,00105,0.73,0.41
1,PERNELLE,Jean-Loup,M.,EXG,Extrême gauche,285,"   0,67","   0,39",non,00201,0.67,0.39
2,BRUNET,Claudine,Mme,FG,Front de gauche,1629,"   3,82","   2,24",non,00201,3.82,2.24
3,BONO,Aude,Mme,NCE,Nouveau Centre,11297,"  26,49","  15,55",Bal.,00201,26.49,15.55
4,PEIFFER,Damien,M.,DVD,Divers droite,222,"   0,52","   0,30",non,00201,0.52,0.3
5,PHILIPPOT,Carole,Mme,ECO,Ecologiste,265,"   0,62","   0,36",non,00201,0.62,0.36
6,DOSIERE,René,M.,DVG,Divers gauche,12416,"  29,11","  17,09",Bal.,00201,29.11,17.09
7,KARIMET,Fawaz,M.,SOC,Socialiste,9157,"  21,47","  12,60",Bal.,00201,21.47,12.6
8,BRIL,Claire,Mme,ECO,Ecologiste,334,"   0,78","   0,45",non,00201,0.78,0.45
9,GOSSET,Marie-Paule,Mme,DVD,Divers droite,306,"   0,72","   0,42",non,00201,0.72,0.42
10,ROUX,Jean-Louis,M.,FN,Front National,6743,"  15,81","   9,28",non,00201,15.81,9.28
1,LEJEUNE,Yannick,M.,FN,Front National,7289,"  16,29","   9,95",non,00202,16.29,9.95
2,FONTAINE,Guy,M.,FG,Front de gauche,2123,"   4,74","   2,89",non,00202,4.74,2.89
3,ZANDITENAS,Anne,Mme,EXG,Extrême gauche,242,"   0,54","   0,33",non,00202,0.54,0.33
4,GAMPERT,Jean-Thierry,M.,EXD,Extrême droite,276,"   0,62","   0,37",non,00202,0.62,0.37
5,GLINATSIS,Sylvie,Mme,ECO,Ecologiste,225,"   0,50","   0,30",non,00202,0.5,0.3
6,AURIGNY,Michel,M.,EXG,Extrême gauche,296,"   0,66","   0,40",non,00202,0.66,0.4
7,FERREIRA,Anne,Mme,SOC,Socialiste,15874,"  35,47","  21,67",Bal.,00202,35.47,21.67
8,RIBEIRO,Antonio,M.,DVG,Divers gauche,178,"   0,40","   0,24",non,00202,0.4,0.24
9,BUIL,Guillaume,M.,ECO,Ecologiste,222,"   0,50","   0,30",non,00202,0.5,0.3
10,BERTRAND,Xavier,M.,UMP,Union pour un Mouvement Populaire,17404,"  38,89","  23,76",Bal.,00202,38.89,23.76
11,GIRONDE,Paul,M.,CEN,Le Centre pour la France,623,"   1,39","   0,85",non,00202,1.39,0.85
1,VITU,Jean-Pierre,M.,EXG,Extrême gauche,377,"   0,93","   0,53",non,00203,0.93,0.53
2,LECOYER,Régis,M.,FG,Front de gauche,1888,"   4,65","   2,68",non,00203,4.65,2.68
3,PAGNIEZ,Jean-Claude,M.,DVD,Divers droite,327,"   0,81","   0,46",non,00203,0.81,0.46
4,MEURA,Frédéric,M.,UMP,Union pour un Mouvement Populaire,13005,"  32,04","  18,50",Bal.,00203,32.04,18.5
5,COLPIN,Didier,M.,DVD,Divers droite,354,"   0,87","   0,50",non,00203,0.87,0.5
6,CHABOT,Pierre,M.,EXD,Extrême droite,619,"   1,53","   0,88",non,00203,1.53,0.88
7,PICHONNIER,Joël,M.,DVG,Divers gauche,185,"   0,46","   0,26",non,00203,0.46,0.26
8,BRICOUT,Jean-Louis,M.,SOC,Socialiste,16683,"  41,10","  23,73",Bal.,00203,41.1,23.73
9,DUTHEIL DE LA ROCHERE,Bertrand,M.,FN,Front National,6617,"  16,30","   9,41",non,00203,16.3,9.41
10,SAVELLI,France,Mme,PRV,Parti radical,535,"   1,32","   0,76",non,00203,1.32,0.76
1,ALLIOT,Frédéric,M.,RDG,Radical de Gauche,4096,"   9,50","   5,18",non,00204,9.5,5.18
2,VOISIN,Laetitia,Mme,EXG,Extrême gauche,282,"   0,65","   0,35",non,00204,0.65,0.35
3,KNOCKAERT,Barbara,Mme,EXG,Extrême gauche,269,"   0,62","   0,34",non,00204,0.62,0.34
4,LANOUILH,Jean-Luc,M.,FG,Front de gauche,7460,"  17,31","   9,44",non,00204,17.31,9.44
5,BECHTEL,Marie-Françoise,Mme,DVG,Divers gauche,10073,"  23,37","  12,75",Bal.,00204,23.37,12.75
6,LETRILLART,Isabelle,Mme,UMP,Union pour un Mouvement Populaire,10476,"  24,31","  13,26",Bal.,00204,24.31,13.26
